handle,domain,eligible_for_bounty
twilio,signup.sendgrid.com,True
twilio,mc.sendgrid.com,True
twilio,api.sendgrid.com,True
twilio,sendgrid.com,True
twilio,app.sendgrid.com,True
twilio,*.sip.*.twilio.com,True
twilio,http://tsock.us1.twilio.com,True
twilio,https://www.twilio.com/login?g=%2fconsole%3f&t=2b1c98334b25c1a785ef15b6556396290e3c704a9b57fc40687cbccd79c46a8c,True
twilio,http://twilio.com/blog,True
twilio,http://help.twilio.com,True
twilio,sendgrid.com,True
twilio,app.sendgrid.com,True
twilio,signup.sendgrid.com,True
twilio,api.sendgrid.com,True
twilio,mc.sendgrid.com,True
twilio,app.segment.com,True
twilio,https://segment.com/docs/connections/sources/,True
dailypay_vdp,get.dailypay.com,False
dailypay_vdp,extend-api.dailypay.com,False
dailypay_vdp,api.dpfriday.com,False
dailypay_vdp,api.dailypay.com,False
dailypay_vdp,app.dailypay.com/,False
dailypay_vdp,api.dailypay.com,False
dailypay_vdp,api.dpfriday.com,False
dailypay_vdp,extend-api.dailypay.com,False
dailypay_vdp,app.dailypay.com/,False
dailypay_vdp,get.dailypay.com,False
anduril_industries,*.anduril.com.au,True
anduril_industries,*.anduril.au,True
anduril_industries,*.andurildev.au,True
anduril_industries,*.andurildev.com,True
anduril_industries,*.anduril.dev,True
anduril_industries,*.anduril.com,True
anduril_industries,*.anduril.com,True
anduril_industries,*.andurildev.com,True
anduril_industries,*.anduril.dev,True
anduril_industries,*.andurildev.au,True
anduril_industries,*.anduril.au,True
anduril_industries,*.anduril.com.au,True
tines_automation_vdp,tines.io,False
tines_automation_vdp,tines.com,False
tines_automation_vdp,tines.io,False
tines_automation_vdp,tines.com,False
unico_idtech,blog.unico.io,True
unico_idtech,openfinance.unico.io,True
unico_idtech,idcash-uat.unico.io,True
unico_idtech,issuer.idpay-uat.unico.io,True
unico_idtech,devcenter.unico.io,True
unico_idtech,idpay-uat.unico.io,True
unico_idtech,accountshomolog.acesso.io,True
unico_idtech,*.uat.unico.app,True
unico_idtech,secure.unico.io,True
unico_idtech,unico.io,True
unico_idtech,identityhomolog.acesso.io,True
unico_idtech,*.cadastro.uat.unico.app,True
unico_idtech,backend-sdk.uat.private.unico.run,True
unico_idtech,*.cadastro.uat.unico.app,True
unico_idtech,*.uat.unico.app,True
unico_idtech,accountshomolog.acesso.io,True
unico_idtech,identityhomolog.acesso.io,True
unico_idtech,backend-sdk.uat.private.unico.run,True
unico_idtech,idpay-uat.unico.io,True
unico_idtech,issuer.idpay-uat.unico.io,True
unico_idtech,idcash-uat.unico.io,True
unico_idtech,openfinance.unico.io,True
unico_idtech,secure.unico.io,True
unico_idtech,unico.io,True
unico_idtech,https://sdk-h1.unico.io/createprocess,True
unico_idtech,blog.unico.io,True
unico_idtech,devcenter.unico.io,True
banco_plata,*.platacard.mx,True
banco_plata,*.platacard.mx,True
mufg-vdp,*.mufgamericas.com,False
mufg-vdp,*.mufg.jp,False
mufg-vdp,*.mufg.jp,False
mufg-vdp,*.mufgamericas.com,False
henkel_vdp,*.gliss.com,False
henkel_vdp,*.livecolour.com,False
henkel_vdp,*.authenticbeautyconcept.*,False
henkel_vdp,*.indola.*,False
henkel_vdp,*.prittworld.*,False
henkel_vdp,*.schwarzkopfpalette.*,False
henkel_vdp,*.somat.*,False
henkel_vdp,*.stmntgrooming.*,False
henkel_vdp,*.syoss.*,False
henkel_vdp,aliportal-dev.henkel.cn,False
henkel_vdp,aliyunportal-dev.henkel.cn,False
henkel_vdp,aigc.magic-mirror.cn,False
henkel_vdp,chatbotdatacon.wechat-henkel-adhesives.cn,False
henkel_vdp,fc-qa.henkel-consumer-brands.cn,False
henkel_vdp,console.ar.magic-mirror.cn,False
henkel_vdp,smartshelf.henkel.cn,False
henkel_vdp,uat.ipad.shrndconsumer.henkel-consumer-brands.cn,False
henkel_vdp,uat-smc-analyzer.henkel-consumer-brands.cn,False
henkel_vdp,*.auth.eshop-henkel-adhesives.cn,False
henkel_vdp,*.eshop-henkel-adhesives.cn,False
henkel_vdp,aliyunportal.henkel.cn,False
henkel_vdp,api.ar.magic-mirror.cn,False
henkel_vdp,auth.eshop-henkel-adhesives.cn,False
henkel_vdp,base.henkel-consumer-brands.cn,False
henkel_vdp,ipad.shrndconsumer.henkel-consumer-brands.cn,False
henkel_vdp,test-api.ar.magic-mirror.cn,False
henkel_vdp,test-console.ar.magic-mirror.cn,False
henkel_vdp,*.henkel-researchers-world.cn,False
henkel_vdp,*.loctite55.nl,False
henkel_vdp,*.pattex.com.cn,False
henkel_vdp,*.smartshelf.henkel.cn,False
henkel_vdp,*.concorsi.loctite-consumer.it,False
henkel_vdp,*.henkel-loctite.bg,False
henkel_vdp,*.lanzamientos-loctite.com,False
henkel_vdp,*.loctite55.be,False
henkel_vdp,*.loctite55.ch,False
henkel_vdp,*.loctite55.ee,False
henkel_vdp,*.loctite55.it,False
henkel_vdp,fc.henkel-consumer-brands.cn,False
henkel_vdp,md.rebate-henkel-adhesives.cn,False
henkel_vdp,k2r-products.cn,False
henkel_vdp,*.loctite-consument.be,False
henkel_vdp,*.loctite-consumer.co.uk,False
henkel_vdp,*.loctite-consumer.jp,False
henkel_vdp,*.loctite-consumer.no,False
henkel_vdp,*.loctite-consumidor.com.sv,False
henkel_vdp,*.loctite-consumidor.hn,False
henkel_vdp,*.loctiteam.com,False
henkel_vdp,*.loctite-consument.nl,False
henkel_vdp,*.loctite-consumer.fi,False
henkel_vdp,*.henkel.com,False
henkel_vdp,*.donnad.it,False
henkel_vdp,*.gliss.com,False
henkel_vdp,*.got2b.com,False
henkel_vdp,*.henkel-adhesives.cn,False
henkel_vdp,*.henkel-adhesives.com,False
henkel_vdp,*.henkelgroup.cloud,False
henkel_vdp,*.henkelgroup.net,False
henkel_vdp,*.labelleadresse.com,False
henkel_vdp,*.livecolour.com,False
henkel_vdp,*.persil.de,False
henkel_vdp,*.raqn.io,False
henkel_vdp,*.schwarzkopf.de,False
henkel_vdp,*.sexyhair.com,False
henkel_vdp,*.syoss.de,False
henkel_vdp,*.askteamclean.*,False
henkel_vdp,*.authenticbeautyconcept.*,False
henkel_vdp,*.ceresit.*,False
henkel_vdp,*.indola.*,False
henkel_vdp,*.pattex.*,False
henkel_vdp,*.perwoll.*,False
henkel_vdp,*.prittworld.*,False
henkel_vdp,*.schwarzkopf.*,False
henkel_vdp,*.schwarzkopfpalette.*,False
henkel_vdp,*.silan.*,False
henkel_vdp,*.somat.*,False
henkel_vdp,*.stmntgrooming.*,False
henkel_vdp,*.syoss.*,False
henkel_vdp,*.taft.*,False
henkel_vdp,*.teroson.*,False
henkel_vdp,*.auth.eshop-henkel-adhesives.cn,False
henkel_vdp,*.eshop-henkel-adhesives.cn,False
henkel_vdp,*.henkel-consumer-brands.cn,False
henkel_vdp,*.henkel-researchers-world.cn,False
henkel_vdp,*.henkel.cn,False
henkel_vdp,*.m.tobcrm-hcb.cn,False
henkel_vdp,*.pattex.com.cn,False
henkel_vdp,*.smartshelf.henkel.cn,False
henkel_vdp,*.tryloctite.cn,False
henkel_vdp,*.wechat-henkel-adhesives.cn,False
henkel_vdp,*.loctite.com,False
henkel_vdp,*.concorsi.loctite-consumer.it,False
henkel_vdp,*.henkel-loctite.bg,False
henkel_vdp,*.lanzamientos-loctite.com,False
henkel_vdp,*.loctite55.be,False
henkel_vdp,*.loctite55.ch,False
henkel_vdp,*.loctite55.ee,False
henkel_vdp,*.loctite55.it,False
henkel_vdp,*.loctite55.nl,False
henkel_vdp,*.loctiteam.com,False
henkel_vdp,*.loctite-consommateur.be,False
henkel_vdp,*.loctite-consommateur.fr,False
henkel_vdp,*.loctite-consument.be,False
henkel_vdp,*.loctite-consument.nl,False
henkel_vdp,*.loctite-consumer.co.uk,False
henkel_vdp,*.loctite-consumer.com.au,False
henkel_vdp,*.loctite-consumer.dk,False
henkel_vdp,*.loctite-consumer.fi,False
